NTACode,NTAName,baseline_stress,event_stress,delta
BK0401,Bushwick (West),0.5197559484202282,0.38856190828336373,-0.13119404013686448
BK1704,East Flatbush-Remsen Village,0.822486998483589,0.6877971551688535,-0.13468984331473544
BK0101,Greenpoint,-0.1386431043759448,-0.2855364857658039,-0.14689338138985913
QN1206,Hollis,-0.3198982299875738,-0.49939447400795206,-0.17949624402037828
MN0603,Murray Hill-Kips Bay,0.1831540599634156,0.0036177751184503504,-0.17953628484496525
QN0903,South Richmond Hill,-0.2873312900607464,-0.47029771960638567,-0.18296642954563924
QN1202,South Jamaica,-0.2718779454551002,-0.4671121424993834,-0.1952341970442832
BK1702,East Flatbush-Farragut,0.0139825482232921,-0.20225384292965434,-0.21623639115294643
BK0703,Sunset Park (Central),-0.1564194739553482,-0.3754149279398333,-0.21899545398448508
BX0803,Riverdale-Spuyten Duyvil,-0.3000350808156756,-0.5251826616437709,-0.22514758082809533
BX0902,Soundview-Clason Point,-0.290822444147642,-0.5235116019495571,-0.23268915780191513
BK0505,East New York-City Line,0.0622399135429394,-0.1766530796693153,-0.23889299321225468
BK1001,Bay Ridge,-0.1814549188340727,-0.4383634118831924,-0.25690849304911967
BX1104,Allerton,1.1438105158552347,0.8855252221403703,-0.2582852937148644
QN0601,Rego Park,-0.1368763528047399,-0.3988983493383026,-0.26202199653356273
QN0202,Sunnyside,-0.0818208253481708,-0.35127102025744633,-0.2694501949092755
MN0601,Stuyvesant Town-Peter Cooper Village,-0.2466865662982275,-0.5251826616404676,-0.27849609534224007
BK1203,Kensington,0.245849300929782,-0.039315787882246794,-0.2851650888120288
BK1601,Ocean Hill,0.5719735459325344,0.25944038406378944,-0.3125331618687449
QN0102,Old Astoria-Hallets Point,0.1289052010257319,-0.21879746777996273,-0.34770266880569467
BX0303,Crotona Park East,1.1387842384518454,0.7699616567540577,-0.3688225816977877
MN0602,Gramercy,0.7185641868710828,0.3361158939377745,-0.3824482929333083
BK0301,Bedford-Stuyvesant (West),0.4136706226058309,-0.003081531971636353,-0.4167521545774672
MN0902,Manhattanville-West Harlem,1.675346604342037,1.2266616505665557,-0.44868495377548134
BK1102,Bath Beach,-0.0447839325084716,-0.5251826616437709,-0.48039872913529935
BK0802,Crown Heights (North),1.2006965322163934,0.7077935709001257,-0.49290296131626765
MN0402,Hell's Kitchen,0.565950265590695,0.06221731763721475,-0.5037329479534802
BX0102,Melrose,1.273927571555157,0.7693353433407035,-0.5045922282144535
MN0301,Chinatown-Two Bridges,0.1633825931424889,-0.3413509054191829,-0.5047334985616718
MN0702,Upper West Side (Central),0.6364946034266796,0.09348328648846471,-0.5430113169382149
MN0801,Upper East Side-Lenox Hill-Roosevelt Island,0.1642802737789973,-0.3989726642437462,-0.5632529380227436
BX1101,Pelham Parkway-Van Nest,1.4130592199881151,0.8399463618659201,-0.573112858122195
BX0802,Kingsbridge-Marble Hill,1.210076251806859,0.6201680921900498,-0.5899081596168093
BK0801,Prospect Heights,0.8394903430369591,0.2467586562445236,-0.5927316867924355
BK0902,Prospect Lefferts Gardens-Wingate,0.9322961815247924,0.3252076950125167,-0.6070884865122758
BX0302,Claremont Village-Claremont (East),0.7226541855111848,0.11055247677557173,-0.6121017087356131
BX0501,University Heights (South)-Morris Heights,2.1854609013956985,1.5377169188592108,-0.6477439825364877
BX0602,Tremont,1.475444428853969,0.8146906605439587,-0.6607537683100103
BX0702,Bedford Park,1.9386397725608977,1.2670123464168985,-0.6716274261439992
BK1701,East Flatbush-Erasmus,1.3921600229375743,0.6926392967596326,-0.6995207261779417
QN0301,Jackson Heights,0.3104408771815281,-0.40345233697358573,-0.7138932141551138
MN1101,East Harlem (South),1.2454745473945186,0.42297461709342166,-0.8224999303010969
MN1102,East Harlem (North),1.2849703927065828,0.41495372628470617,-0.8700166664218766
BX0901,Soundview-Bruckner-Bronx River,0.8013548031690196,-0.08906499903421536,-0.890419802203235
MN1001,Harlem (South),3.1044580718766697,2.1364141573957376,-0.9680439144809321
BX0301,Morrisania,1.871728793438805,0.8915287446173761,-0.9802000488214289
MN0303,East Village,0.9907669514811668,-0.036745827639025994,-1.0275127791201928
MN0803,Upper East Side-Yorkville,0.669787737098352,-0.4550427476767761,-1.1248304847751283
MN1201,Washington Heights (South),3.184310751096878,1.956154464593662,-1.228156286503216
BK1401,Flatbush,1.9879688870526684,0.7092508173535605,-1.2787180696991078
BX0904,Parkchester,1.3414811092899483,-0.12723249821497995,-1.4687136075049283
BX0603,Belmont,1.912995249342826,0.42584072571393017,-1.4871545236288957
BX0703,Norwood,2.2901072233581754,0.7006678813610856,-1.5894393419970898
BX0401,Concourse-Concourse Village,2.139268099298009,0.2520459757874656,-1.8872221235105433
MN1202,Washington Heights (North),2.701115814095788,0.7329876248373532,-1.9681281892584346
