NTACode,NTAName,area_km2,flood_area_km2,clim_flood_share
QN1091,Spring Creek Park,11.848300583282454,2.9431728392146392,0.24840463984914052
BK1891,Marine Park-Plumb Island,43.50974337258104,10.44146806427437,0.2399799965461155
SI0391,Freshkills Park (South),47.75856755416683,11.123921624149098,0.23291991769921835
BX1161,Hutchinson Metro Center,12.181376592592597,2.8212358722840527,0.2316023850703068
BX0101,Mott Haven-Port Morris,40.97470809761983,9.328599827155607,0.22766726745022237
QN1307,Rosedale,47.23497114228669,9.547689418512116,0.20213179319516153
QN1191,Alley Pond Park,26.132313773416556,5.25084961059417,0.2009332069147152
BK1391,Calvert Vaux Park,4.222286605045063,0.8397199086112069,0.1988779983831166
BK0101,Greenpoint,35.32186753528178,6.951286621904727,0.19679838884400236
BX1003,Pelham Bay-Country Club-City Island,35.30971500787275,6.914453742066156,0.19582298357617703
BX1002,Throgs Neck-Schuylerville,66.47731177614422,12.760081936245513,0.1919464189408535
MN0301,Chinatown-Two Bridges,11.54142794426557,2.1960261484699224,0.19027334911024002
QN0102,Old Astoria-Hallets Point,11.091057915771543,2.029801865507769,0.18301246652236663
BK0702,Sunset Park (West),50.37893421872548,9.187043698011527,0.18235883391508448
MN0401,Chelsea-Hudson Yards,29.671789653739516,5.404285564257788,0.18213547707516486
BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,63.37077682023526,11.080575878745533,0.17485308583446835
BX1004,Co-op City,29.055527813101634,5.074656791918937,0.17465374659725463
SI0191,Snug Harbor,3.768355605303112,0.5947245183217043,0.15782069969319334
MN0303,East Village,18.982212021767456,2.9456668579887086,0.15518037911550175
BK0102,Williamsburg,28.852898695860855,4.3868810567193925,0.1520429923856739
MN0102,Tribeca-Civic Center,13.578289972226779,2.024211902858381,0.14907708606891826
MN0302,Lower East Side,16.47311042017168,2.439084965218655,0.1480646279303721
MN0603,Murray Hill-Kips Bay,15.77120147279736,2.277333577949158,0.1443982300192646
BK1893,Canarsie Park & Pier,11.552132028586325,1.6453226394936487,0.14242588601153588
QN1306,Springfield Gardens (South)-Brookville,57.436942178069145,7.91293915590643,0.13776741685471874
BX0402,Highbridge,13.048971867535176,1.782157126730992,0.13657452440102655
QN1003,Howard Beach-Lindenwood,52.60501442193107,7.140771891469098,0.13574317904743516
BX0902,Soundview-Clason Point,30.32365124627762,3.9397226835683883,0.12992243749182444
MN0801,Upper East Side-Lenox Hill-Roosevelt Island,21.500922364242793,2.786541889755107,0.1296010395530416
QN0151,Rikers Island,18.163862958445282,2.2456766760670135,0.12363431067524581
SI0107,Mariner's Harbor-Arlington-Graniteville,89.38915956640811,11.030216423599574,0.12339545955127942
MN0203,West Village,14.416905256254774,1.7394314092449064,0.1206522050556068
QN0101,Astoria (North)-Ditmars-Steinway,58.30156416660634,6.990239296723699,0.11989797180651854
MN0201,SoHo-Little Italy-Hudson Square,12.916800739647043,1.5484464834454597,0.11987848343070218
SI0201,Grasmere-Arrochar-South Beach-Dongan Hills,80.11301681441317,9.573181027579826,0.11949594970011804
BX2791,Bronx Park,33.46113783800211,3.629604913358412,0.10847225013478884
SI9561,Fort Wadsworth,9.867192334195012,1.0533369937949026,0.10675144034078832
BK5691,Barren Island-Floyd Bennett Field,54.67661531977762,5.823066473959822,0.10650012697207875
MN0803,Upper East Side-Yorkville,13.644955653825663,1.3686550687883785,0.10030483817693067
MN1291,Highbridge Park,7.75344515333515,0.7750460628032397,0.09996150710756664
SI0305,Tottenville-Charleston,126.77377194474397,12.60255345787874,0.09940978535664088
BX0903,Castle Hill-Unionport,32.89924857882634,3.186416221793372,0.09685376898985228
QN0191,Astoria Park,2.6749440417335797,0.2511546830250733,0.0938915652464658
SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,24.241478909340145,2.067756819706179,0.0852982950190172
BX0991,Soundview Park,7.794410613267808,0.6444190807642604,0.08267707627146519
BX1001,Westchester Square,15.382070301796286,1.2577869012822591,0.08176967577214736
BX0401,Concourse-Concourse Village,26.502956023525762,2.104847932878754,0.07941936480633907
