NTACode,NTAName,area_km2,svc_311_density,mob_mta_delay_density,util_outage_density,clim_flood_share,z_311,z_mta,z_outage,z_flood,baseline_stress_score,baseline_rank,event_stress,event_delta,delta_rank
BX0403,Mount Eden-Claremont (West),1.264191226139884,6459.465807980876,391.3992211314162,99.72768299319662,0.0,3.3961474683489232,0.9477651744921222,3.550488851637388,-0.5748332805253139,1.8298920534882799,2,1.1865197517651744,-2.364905506605,258
BX0491,Yankee Stadium-Macombs Dam Park,0.261159355553148,122.5305520157318,624.3775938009735,0.0,0.0,-0.6363507766223387,1.8400534519077254,-0.6582847848416395,-0.5748332805253139,-0.007353847520391726,101,-0.5251826616437709,0.1112199099023167,138
BX0492,Claremont Park,0.172998835284705,254.33697242868135,0.0,0.0,0.0,-0.5524759794968928,-0.5512621077548129,-0.6582847848416395,-0.5748332805253139,-0.5842140381546648,236,-0.5251826616319872,-0.0083476530208388,172
BX0501,University Heights (South)-Morris Heights,1.824878331260755,4398.649412673107,178.75597828152277,63.62036132570524,0.0467764541498801,2.0847503715482407,0.13335879551155558,2.0266637816377884,-0.30434952089900524,0.9851058569496449,19,1.5377169188592108,-0.6477439825364877,236
BX0502,Mount Hope,1.17819119354892,6970.0062646572715,286.3382045618821,97.66485454194584,0.0,3.7210290415978258,0.5453899993881066,3.4634320010054984,-0.5748332805253139,1.7887544403665292,3,1.609353270436064,-2.155766983165413,256
BX0503,Fordham Heights,0.685545154017706,8925.743204716697,729.9604469960912,188.2821795614345,0.0,4.9655590012484785,2.244427218977162,7.287724284786856,-0.5748332805253139,3.480719306121796,1,6.132126464577371,1.168437219620044,9
BX0601,West Farms,1.087096794202582,2774.3619667394255,505.237713092277,46.94116545984599,0.0311763967919354,1.051137748018471,1.3837573686663724,1.3227573262688481,-0.3945564902225609,0.8407739881827826,27,1.0734312155103138,0.0796006108984762,147
BX0602,Tremont,1.470608867745595,3334.6732143113645,0.0,76.20350647503331,0.0,1.4076908815453775,-0.5512621077548129,2.55770599558448,-0.5748332805253139,0.7098253722124327,36,0.8146906605439587,-0.6607537683100103,237
BX0603,Belmont,1.523069677319835,4265.727364116955,0.0,62.41042316959051,0.0,2.0001656463033193,-0.5512621077548129,1.9756011713335548,-0.5748332805253139,0.7124178573391868,34,0.4258407257139301,-1.4871545236288957,251
BX0701,University Heights (North)-Fordham,1.701392298219117,4777.85165038586,95.81715782644746,51.15288110129871,0.0091468089048349,2.3260550868877945,-0.1842901621438656,1.5005029353521537,-0.5219420704896878,0.7800814474015987,31,0.1687597193379849,-2.1726641408417366,257
BX0702,Bedford Park,2.281144572140688,4388.586379952852,290.8534647428772,63.60178215632743,0.0,2.0783467773588704,0.5626830797835892,2.0258796912436465,-0.5748332805253139,1.0230190669651982,16,1.2670123464168983,-0.6716274261439992,238
BX0703,Norwood,1.460561799818293,4980.275398757486,298.982345222755,36.99356022723467,0.0,2.4548671035926684,0.5938160329311123,0.9029419110047482,-0.5748332805253139,0.8441979417508038,26,0.7006678813610856,-1.5894393419970898,252
BX0801,Kingsbridge Heights-Van Cortlandt Village,1.019163364917728,5647.769727736096,0.0,68.7242031778501,0.0,2.8796260132881346,-0.5512621077548129,2.2420594911072547,-0.5748332805253139,0.9988975290288156,17,0.3082117742372882,-2.3906515305982907,259
BX0802,Kingsbridge-Marble Hill,1.143891602214102,3175.1260285239855,412.13371455615214,20.118681106014034,0.0188743737026792,1.3061632943616386,1.0271766031541454,0.19077710147027924,-0.46569265299218376,0.5146060864984698,47,0.6201680921900498,-0.5899081596168093,232
BX0803,Riverdale-Spuyten Duyvil,5.851398934540365,614.5538939027186,0.0,3.9330094864186855,0.0391108557686136,-0.32325253867261483,-0.5512621077548129,-0.49230131724628656,-0.34867566548676515,-0.42887290729011984,188,-0.5251826616437709,-0.2251475808280953,209
BX0901,Soundview-Bruckner-Bronx River,2.992262004161887,2396.1805450282654,150.0260144250226,33.10445576086171,0.0289563945453555,0.8104826272492558,0.02332536336938491,0.7388113521036658,-0.40739360164853083,0.2913064352684439,67,-0.0890649990342153,-0.890419802203235,243
BX0902,Soundview-Clason Point,2.817197473666194,632.1885549905289,0.0,8.168814273335705,0.1299224374918244,-0.31203075132354596,-0.5512621077548129,-0.3135390821137988,0.17644019651084178,-0.25009793617032894,144,-0.5235116019495571,-0.2326891578019151,210
BX0903,Castle Hill-Unionport,3.05634234490249,888.3167177028462,48.9574628029807,12.7670173982079,0.0968537689898522,-0.14904401958237917,-0.3637589946951764,-0.11948267263662472,-0.014778611002648588,-0.1617660744792072,123,0.0128306731868571,0.1831496519555215,110
BX0904,Parkchester,0.853265004412157,3711.6253258058473,0.0,14.071675214459686,0.0,1.6475637327961201,-0.5512621077548129,-0.06442264058873876,-0.5748332805253139,0.11426142598181363,86,-0.1272324982149799,-1.4687136075049283,250
BX0991,Soundview Park,0.724135384048208,27.61914476294745,0.0,0.0,0.0826770762714651,-0.6967474932866491,-0.5512621077548129,-0.6582847848416395,-0.09675500735902103,-0.5007623483105307,213,-0.5251826609093024,0.2014038562587106,103
BX1001,Westchester Square,1.429060902839788,1063.6355644322089,314.13101706761154,16.10361363816602,0.0817696757721473,-0.03748016210394805,0.6518342178411467,0.021330568670393263,-0.10200202966977258,0.13342064868445486,83,0.5821777235878733,0.6086039671753511,17
BX1002,Throgs Neck-Schuylerville,6.176028301341723,267.48582088607145,0.0,5.346214522800741,0.1919464189408535,-0.5441087315787595,-0.5512621077548129,-0.4326603036225173,0.5350924285840765,-0.24823467859300327,143,-0.469913669818456,0.0713992937194034,151
BX1003,Pelham Bay-Country Club-City Island,3.280425011118143,702.6528550988988,136.84385551397824,8.235192431071717,0.195822983576177,-0.26719091076297624,-0.02716123644920614,-0.3107377471992352,0.5575085735453202,-0.011895330216524336,102,0.1025422270220122,0.3928664015074464,31
BX1004,Co-op City,2.699384818372543,148.55236543923465,0.0,2.5946347821233267,0.1746537465972546,-0.6197918387883963,-0.5512621077548129,-0.5487842917033687,0.4350979524210193,-0.3211850714563897,161,-0.5056808942901323,0.1213824115069324,132
BX1071,Hart Island,0.45570992685157,0.0,0.0,0.0,0.6506825778602774,-0.7143228902704439,-0.5512621077548129,-0.6582847848416395,3.187723612287761,0.3159634573552162,65,-0.5251826616437709,0.2288391623719378,55
BX1091,Ferry Point Park-St. Raymond Cemetery,2.020254610381794,6.92981960197296,0.0,0.0,0.2566492980056475,-0.7099131110547547,-0.5512621077548129,-0.6582847848416395,0.9092353238966471,-0.25255616993864,145,-0.5251826614329658,0.2219554690863983,75
BX1101,Pelham Parkway-Van Nest,1.448225723143156,3537.431988765743,126.41660538030548,36.61754128119438,0.0,1.5367160915426161,-0.06709675901873187,0.8870729107491325,-0.5748332805253139,0.44546474068692565,53,0.8399463618659201,-0.573112858122195,231
BX1102,Morris Park,2.585830652615846,687.9800880233012,25.417869202458657,6.578034485751309,0.0015540359846379,-0.27652790176750375,-0.45391372959266896,-0.38067422283380986,-0.5658471035403594,-0.4192407394335855,187,-0.3312027537138411,-0.0339003747734075,181
BX1103,Pelham Gardens,2.793089063000243,292.8657058723834,47.06341545524406,9.313970920608178,0.0,-0.5279582838416558,-0.3710130424674671,-0.2652104238915087,-0.5748332805253139,-0.4347537576814864,191,-0.2815109266913811,0.2235283941245504,70
BX1104,Allerton,1.463623595211902,2946.7958934999047,125.0866573471291,44.43585386440079,0.0,1.1608657914572282,-0.07219035215348331,1.2170265093321477,-0.5748332805253139,0.4327171670276446,55,0.8855252221403703,-0.2582852937148644,213
BX1161,Hutchinson Metro Center,1.131702736298067,26.508727988176062,0.0,0.0,0.2316023850703068,-0.6974541051604626,-0.5512621077548129,-0.6582847848416395,0.7644021316226848,-0.2856497165335576,155,-0.5251826607748654,0.2039246140889405,100
