NTACode,NTAName,area_km2,svc_311_density
MN1101,East Harlem (South),1.547221598182379,2947.218423887649
MN1102,East Harlem (North),2.426596772152155,3052.423082814337
MN1191,Randall's Island,2.180144090139409,27.52111673323542
MN1201,Washington Heights (South),1.953563465796352,6190.738213396099
MN1202,Washington Heights (North),2.3015505214051,5543.654106802144
MN1203,Inwood,1.341257711853327,5500.06157266122
MN1291,Highbridge Park,0.720145254800475,99.97982979135018
MN1292,Inwood Hill Park,0.929754276488181,25.813271965418153
MN6491,Central Park,3.559384321147676,35.68032798409657
QN0101,Astoria (North)-Ditmars-Steinway,5.416465159041295,352.0746361336395
QN0102,Old Astoria-Hallets Point,1.030406677765443,1094.7134023298447
QN0103,Astoria (Central),1.958869176131706,1709.149360658935
QN0104,Astoria (East)-Woodside (North),2.419409685870646,709.677244836739
QN0105,Queensbridge-Ravenswood-Dutch Kills,2.575447925609034,481.0813636260982
QN0151,Rikers Island,1.687494361239083,4.740756581921737
QN0161,Sunnyside Yards (North),0.418095893790279,148.29133918999887
QN0171,St. Michael's Cemetery,0.407725444745951,22.07367755919132
QN0191,Astoria Park,0.248513483387362,48.28711841480007
QN0201,Long Island City-Hunters Point,2.56372064911272,541.4006399177593
QN0202,Sunnyside,4.43168439429308,1026.4720127313203
QN0203,Woodside,3.061189282554265,647.1341093769438
QN0261,Sunnyside Yards (South),0.81602366651765,24.50909308224998
QN0271,Calvary & Mount Zion Cemeteries,1.327762943934336,14.309783298892576
QN0301,Jackson Heights,3.652649544591909,1652.4990767145632
QN0302,East Elmhurst,2.672290892545548,410.88341208021575
QN0303,North Corona,1.297074275623981,871.19143539902
QN0401,Elmhurst,3.911458249393965,1168.1065497012305
QN0402,Corona,2.232088832190702,1273.6948274633469
QN0501,Maspeth,5.417654559027632,259.52189913200203
QN0502,Ridgewood,3.952971914649992,768.5356905119812
QN0503,Glendale,2.787713674008833,454.85302591229544
QN0504,Middle Village,3.246369360805835,375.4963975194159
QN0571,Mount Olivet & All Faiths Cemeteries,0.710417094168946,7.0381189318776975
QN0572,Middle Village Cemetery,0.512038666495217,7.811910040659721
QN0573,St. John Cemetery,0.813291666605386,33.198422052811424
QN0574,Highland Park-Cypress Hills Cemeteries (North),2.901113946042152,13.787807285049954
QN0601,Rego Park,1.876041311020988,1031.9602178410353
QN0602,Forest Hills,5.384206497129742,887.0387869681504
QN0701,College Point,6.197575816050351,136.98904623341238
QN0702,Whitestone-Beechhurst,4.890260291856308,194.46817617943344
QN0703,Bay Terrace-Clearview,3.652987825311757,167.26034392076173
QN0704,Murray Hill-Broadway Flushing,5.244690882599751,445.78413720373015
QN0705,East Flushing,2.941344271602174,491.2719717821052
QN0706,Queensboro Hill,2.455240921205536,207.71892305769623
QN0707,Flushing-Willets Point,3.579994380664966,918.9958559065948
QN0761,Fort Totten,0.646359379544155,7.735634630267531
QN0791,Kissena Park,1.023447069531616,2.931270301426492
QN0801,Kew Gardens Hills,3.187007562802917,655.4738132352473
QN0802,Pomonok-Electchester-Hillcrest,3.435044569486488,337.11352984660454
QN0803,Fresh Meadows-Utopia,3.084045700560591,193.25264858807517
QN0804,Jamaica Estates-Holliswood,3.661400663687466,369.257594070127
QN0805,Jamaica Hills-Briarwood,2.568348042446523,844.122355759399
QN0871,Mount Hebron & Cedar Grove Cemeteries,0.855545404739415,0.0
QN0891,Cunningham Park,1.97930939870408,7.073174112731576
QN0901,Kew Gardens,1.88454506457772,893.584362429318
QN0902,Richmond Hill,2.812172603828063,509.2148319952671
QN0903,South Richmond Hill,1.472443098333813,533.8067059361559
QN0904,Ozone Park (North),1.680375187779524,537.3799890447319
QN0905,Woodhaven,2.204370217709664,535.3002823754431
QN1001,South Ozone Park,7.602907865364808,389.8508376646991
QN1002,Ozone Park,2.332598988467241,415.8451601822011
QN1003,Howard Beach-Lindenwood,4.887168896783234,273.3689029817168
QN1091,Spring Creek Park,1.10074374221274,1.8169533228320287
QN1101,Auburndale,5.152836349285587,262.5738347362004
QN1102,Bayside,6.541385278767994,223.9586781037179
QN1103,Douglaston-Little Neck,6.331368446670567,157.1540194479179
QN1104,Oakland Gardens-Hollis Hills,3.682232789644461,170.5486958255664
QN1191,Alley Pond Park,2.427802513170705,14.416329091895566
QN1201,Jamaica,4.350575832219044,1011.5902284491929
QN1202,South Jamaica,3.517908445629595,590.9761530556048
QN1203,Baisley Park,4.45460730795683,407.2188353751921
QN1204,Springfield Gardens (North)-Rochdale Village,3.201851543733555,393.20998578588967
