NTACode,NTAName,incident_count,area_km2,mob_mta_delay_density
MN1102,East Harlem (North),527.7584377610693,2.4251354354433383,217.6201914531796
MN1191,Randall's Island,0.0,2.1788412289464945,0.0
MN1201,Washington Heights (South),595.7698564593302,1.9523833774302508,305.15003525767014
MN1202,Washington Heights (North),688.7547846889952,2.299983177511299,299.46079233251766
MN1203,Inwood,347.3744019138756,1.3404589491575447,259.14587099604535
MN1291,Highbridge Park,0.0,0.7198975050225351,0.0
MN1292,Inwood Hill Park,0.0,0.9291982049616405,0.0
MN6491,Central Park,875.9903260403261,3.5572050158558928,246.25803745797194
QN0101,Astoria (North)-Ditmars-Steinway,376.21428571428567,5.4132704617976755,69.49852004796189
QN0102,Old Astoria-Hallets Point,0.0,1.029788643755393,0.0
QN0103,Astoria (Central),564.3214285714286,1.9576989576332295,288.25751087576197
QN0104,Astoria (East)-Woodside (North),228.4,2.41798022221964,94.45900255972111
QN0105,Queensbridge-Ravenswood-Dutch Kills,577.9253246753246,2.5738978477715335,224.53312402265271
QN0151,Rikers Island,0.0,1.6865111945728508,0.0
QN0161,Sunnyside Yards (North),114.2,0.417845708950774,273.3066238415142
QN0171,St. Michael's Cemetery,0.0,0.4074865435278453,0.0
QN0191,Astoria Park,0.0,0.24836551802928553,0.0
QN0201,Long Island City-Hunters Point,1202.911471861472,2.5621665697690696,469.48995668532643
QN0202,Sunnyside,483.0909090909091,4.429036111793344,109.07359906246116
QN0203,Woodside,469.9454545454546,3.059388636065386,153.60763552741744
QN0261,Sunnyside Yards (South),0.0,0.8155364284913341,0.0
QN0271,Calvary & Mount Zion Cemeteries,0.0,1.3269771369954348,0.0
QN0301,Jackson Heights,241.54545454545456,3.6505226622497258,66.16736201730525
QN0302,East Elmhurst,0.0,2.6707492836496964,0.0
QN0303,North Corona,120.77272727272728,1.2963302438292843,93.16509265106062
QN0401,Elmhurst,973.9636363636365,3.9091917283202795,249.14706262875828
QN0402,Corona,120.77272727272728,2.230813150247115,54.13843255287824
QN0501,Maspeth,0.0,5.414461498259507,0.0
QN0502,Ridgewood,330.1388888888889,3.950645901389464,83.56580091695315
QN0503,Glendale,0.0,2.786103298243894,0.0
QN0504,Middle Village,0.0,3.2444896332676714,0.0
QN0571,Mount Olivet & All Faiths Cemeteries,0.0,0.7100010786463046,0.0
QN0572,Middle Village Cemetery,0.0,0.5117410440816549,0.0
QN0573,St. John Cemetery,0.0,0.8128240538695244,0.0
QN0574,Highland Park-Cypress Hills Cemeteries (North),0.0,2.8994199817386623,0.0
QN0601,Rego Park,114.2,1.874966476516454,60.90775564807696
QN0602,Forest Hills,779.6363636363636,5.381154635989351,144.88272803426392
QN0701,College Point,0.0,6.19408028791691,0.0
QN0702,Whitestone-Beechhurst,0.0,4.88755927736484,0.0
QN0703,Bay Terrace-Clearview,0.0,3.6510068078526405,0.0
QN0704,Murray Hill-Broadway Flushing,0.0,5.24179659482788,0.0
QN0705,East Flushing,0.0,2.9397243228265357,0.0
QN0706,Queensboro Hill,0.0,2.4538773302631234,0.0
QN0707,Flushing-Willets Point,120.77272727272728,3.5779876065907694,33.75437272344376
QN0761,Fort Totten,0.0,0.646011685986585,0.0
QN0791,Kissena Park,0.0,1.0228852614623976,0.0
QN0801,Kew Gardens Hills,0.0,3.185238730963678,0.0
QN0802,Pomonok-Electchester-Hillcrest,0.0,3.4331601890578716,0.0
QN0803,Fresh Meadows-Utopia,0.0,3.082376394883505,0.0
QN0804,Jamaica Estates-Holliswood,0.0,3.659432505741385,0.0
QN0805,Jamaica Hills-Briarwood,0.0,2.566933287750514,0.0
QN0871,Mount Hebron & Cedar Grove Cemeteries,0.0,0.8550648941983765,0.0
QN0891,Cunningham Park,0.0,1.978252575206187,0.0
QN0901,Kew Gardens,429.43636363636364,1.8834916275130855,228.00014471175564
QN0902,Richmond Hill,251.60000000000002,2.810596270697936,89.51837110974388
QN0903,South Richmond Hill,0.0,1.4716224758354548,0.0
QN0904,Ozone Park (North),0.0,1.679422240183993,0.0
QN0905,Woodhaven,251.60000000000002,2.203113617098763,114.20200848802665
QN1001,South Ozone Park,447.1818181818182,7.5986877195460245,58.8498744370738
QN1002,Ozone Park,447.1818181818182,2.3312790953761486,191.81822505454502
QN1003,Howard Beach-Lindenwood,0.0,4.884408696004002,0.0
QN1091,Spring Creek Park,0.0,1.1001188725265396,0.0
QN1101,Auburndale,0.0,5.150046582925261,0.0
QN1102,Bayside,0.0,6.5378956802451835,0.0
QN1103,Douglaston-Little Neck,0.0,6.32807518425483,0.0
QN1104,Oakland Gardens-Hollis Hills,0.0,3.6802902267698085,0.0
QN1191,Alley Pond Park,0.0,2.4265311416661266,0.0
QN1201,Jamaica,962.569696969697,4.3482048793670645,221.371743897636
QN1202,South Jamaica,0.0,3.51599710425383,0.0
QN1203,Baisley Park,0.0,4.452191004304067,0.0
QN1204,Springfield Gardens (North)-Rochdale Village,0.0,3.2001384662890016,0.0
QN1205,St. Albans,0.0,6.896927723037346,0.0
QN1206,Hollis,0.0,2.2720765614988747,0.0
QN1301,Glen Oaks-Floral Park-New Hyde Park,0.0,4.217680645834504,0.0
QN1302,Bellerose,0.0,5.136980620716542,0.0
QN1303,Queens Village,0.0,6.467899056910341,0.0
QN1304,Cambria Heights,0.0,3.071032081123693,0.0
QN1305,Laurelton,0.0,3.699397245799399,0.0
QN1306,Springfield Gardens (South)-Brookville,0.0,5.333248666436259,0.0
QN1307,Rosedale,0.0,4.386015218694889,0.0
QN1371,Montefiore Cemetery,0.0,0.49417710575175106,0.0
QN1401,Far Rockaway-Bayswater,335.3863636363636,5.615311983932031,59.72711126221606
QN1402,Rockaway Beach-Arverne-Edgemere,841.3772727272728,4.689252875279921,179.42672214644588
QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,758.9863636363636,6.428278281057356,118.06992952886317
QN1491,Rockaway Community Park,0.0,0.8291485583451332,0.0
QN8081,LaGuardia Airport,0.0,2.840479746185345,0.0
QN8191,Flushing Meadows-Corona Park,396.39090909090913,5.126128890614953,77.32753458787033
QN8291,Forest Park,0.0,2.229332026948448,0.0
QN8381,John F. Kennedy International Airport,111.79545454545455,18.30965291459967,6.105820523572655
QN8491,Jamaica Bay (East),0.0,6.492212683573975,0.0
QN8492,Jacob Riis Park-Fort Tilden-Breezy Point Tip,0.0,4.88700893350373,0.0
SI0101,St. George-New Brighton,0.0,2.4611531199984675,0.0
SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,0.0,2.2506388951208565,0.0
SI0103,Rosebank-Shore Acres-Park Hill,0.0,3.2728050887454923,0.0
SI0104,West New Brighton-Silver Lake-Grymes Hill,0.0,7.9248760110187035,0.0
SI0105,Westerleigh-Castleton Corners,0.0,7.105044224108073,0.0
SI0106,Port Richmond,0.0,3.3642741088524972,0.0
