NTACode,NTAName,complaint_count,area_km2,util_outage_density
BK5591,Prospect Park,0,2.5373035030903592,0.0
BK5691,Barren Island-Floyd Bennett Field,0,5.076621091993042,0.0
BK5692,Jamaica Bay (West),0,3.691059068617359,0.0
BK5693,Shirley Chisholm State Park,0,1.6977314361953861,0.0
BX0101,Mott Haven-Port Morris,126,3.804466762016945,33.11896459655252
BX0102,Melrose,62,1.603670139587982,38.66131723069257
BX0201,Hunts Point,62,4.180770750057094,14.829801418590893
BX0202,Longwood,98,1.429576764223444,68.55175773176076
BX0291,North & South Brother Islands,0,0.08641051166064874,0.0
BX0301,Morrisania,98,1.2823712541707057,76.42092699853556
BX0302,Claremont Village-Claremont (East),42,0.9283415773190439,45.241968070946186
BX0303,Crotona Park East,65,1.4836303831777162,43.81145111141472
BX0391,Crotona Park,0,0.5886440713209099,0.0
BX0401,Concourse-Concourse Village,129,2.460773432988438,52.42254255132236
BX0402,Highbridge,142,1.2115815435782702,117.20218152268887
BX0403,Mount Eden-Claremont (West),126,1.2634405635253319,99.72768299319662
BX0491,Yankee Stadium-Macombs Dam Park,0,0.2610027767367837,0.0
BX0492,Claremont Park,0,0.17289655884070712,0.0
BX0501,University Heights (South)-Morris Heights,116,1.823315642709675,63.62036132570524
BX0502,Mount Hope,115,1.1774962502054303,97.66485454194583
BX0503,Fordham Heights,129,0.6851418456089662,188.2821795614345
BX0601,West Farms,51,1.0864664202601868,46.94116545984599
BX0602,Tremont,112,1.469748639935549,76.20350647503331
BX0603,Belmont,95,1.5221816352991622,62.41042316959051
BX0701,University Heights (North)-Fordham,87,1.7007839661604354,51.15288110129871
BX0702,Bedford Park,145,2.279810330528209,63.60178215632743
BX0703,Norwood,54,1.459713519550497,36.99356022723467
BX0801,Kingsbridge Heights-Van Cortlandt Village,70,1.0185640103945373,68.7242031778501
BX0802,Kingsbridge-Marble Hill,23,1.1432160924865329,20.118681106014034
BX0803,Riverdale-Spuyten Duyvil,23,5.847939111111402,3.9330094864186855
BX0901,Soundview-Bruckner-Bronx River,99,2.9905339847648054,33.10445576086171
BX0902,Soundview-Clason Point,23,2.815586109611479,8.168814273335705
BX0903,Castle Hill-Unionport,39,3.05474636585632,12.767017398207901
BX0904,Parkchester,12,0.8527769307572642,14.071675214459686
BX0991,Soundview Park,0,0.7237159195593543,0.0
BX1001,Westchester Square,23,1.42825085827254,16.10361363816602
BX1002,Throgs Neck-Schuylerville,33,6.172591814125739,5.346214522800741
BX1003,Pelham Bay-Country Club-City Island,27,3.278611911742086,8.235192431071717
BX1004,Co-op City,7,2.697874879435452,2.5946347821233267
BX1071,Hart Island,0,0.4554663051127488,0.0
BX1091,Ferry Point Park-St. Raymond Cemetery,0,2.0189810862881856,0.0
BX1101,Pelham Parkway-Van Nest,53,1.4473937393284007,36.61754128119438
BX1102,Morris Park,17,2.584358600859227,6.578034485751309
BX1103,Pelham Gardens,26,2.791505387081697,9.313970920608178
BX1104,Allerton,65,1.4627827384245204,44.43585386440079
BX1161,Hutchinson Metro Center,0,1.1310643997004861,0.0
BX1201,Williamsbridge-Olinville,192,3.3651357039524403,57.05564853580525
BX1202,Eastchester-Edenwald-Baychester,86,5.236474908747044,16.4232621178696
BX1203,Wakefield-Woodlawn,131,3.681258175831463,35.58565950632133
BX1271,Woodlawn Cemetery,0,1.6607525835565953,0.0
BX2691,Van Cortlandt Park,0,4.703661327025362,0.0
BX2791,Bronx Park,0,3.106873172779162,0.0
BX2891,Pelham Bay Park,0,9.218621309031901,0.0
