nta2020,flood_share
BX0902,0.1299227622856281
BX0903,0.09681269563539825
BX0904,0.0
BX0991,0.0826766874714361
BX1001,0.08176983274691933
BX1002,0.1919468206871671
BX1003,0.1958245107707619
BX1004,0.1746540233561121
BX1071,0.6506825801430919
BX1091,0.2567004842484745
BX1101,0.0
BX1102,0.0015540452619318996
BX1103,0.0
BX1104,0.0
BX1161,0.2316023719510707
BX1201,0.04884893435571703
BX1202,0.03357748105383617
BX1203,0.014984561236811522
BX1271,0.0
BX2691,0.0004379407553933254
BX2791,0.10847274353613781
BX2891,0.3968225953517657
MN0101,0.43382890349928316
MN0102,0.1490769147099378
MN0191,0.47067525064560883
MN0201,0.11987829197733138
MN0202,0.0
MN0203,0.12065204851524687
MN0301,0.19027123482044897
MN0302,0.14806608459258802
MN0303,0.1551606112194999
MN0401,0.18213539019343444
MN0402,0.06286005654495808
MN0501,0.0
MN0502,0.0
MN0601,0.3173673353805955
MN0602,0.0
MN0603,0.1443982810009487
MN0604,0.01613611880555502
MN0661,0.04784512127401337
MN0701,0.06468281480312965
MN0702,0.023687978760615732
MN0703,0.014867421366813132
MN0801,0.12960139020826594
MN0802,0.0
MN0803,0.10030502167303584
MN0901,0.02197641568483983
MN0902,0.053094628380665344
MN0903,0.07066253008771174
MN1001,0.0
MN1002,0.06107328713808492
MN1101,0.33751650510159376
MN1102,0.2635049257436352
MN1191,0.3127333396833379
MN1201,0.034843322070122765
MN1202,0.034136420763348205
MN1203,0.07595534089651786
MN1291,0.09998713147890588
MN1292,0.07280277153905738
MN6491,0.0
QN0101,0.11989810228600399
QN0102,0.1830122388489612
QN0103,0.0
QN0104,0.0
QN0105,0.04125095439640502
QN0151,0.12363396208319692
QN0161,0.0
QN0171,0.0
QN0191,0.09389158411808893
QN0201,0.3379711177797215
QN0202,0.046895643301852696
QN0203,0.0
QN0261,0.010224561665326785
QN0271,0.0
QN0301,0.0
QN0302,0.00459920044711516
QN0303,0.0029030718824598583
QN0401,0.0
QN0402,0.0028090111682599083
QN0501,0.03631815683219044
QN0502,0.0009535886046084298
QN0503,0.0
QN0504,0.0
QN0571,0.0
QN0572,0.0
QN0573,0.0
QN0574,0.0
QN0601,0.0
QN0602,0.0002706373786742852
QN0701,0.3245722453873458
QN0702,0.05700117730288053
QN0703,0.0424441950889096
QN0704,0.01167299915786348
QN0705,0.0
QN0706,0.0
QN0707,0.2889047486785634
QN0761,0.2975034272662927
QN0791,0.0
QN0801,0.0
QN0802,0.0
QN0803,0.0
QN0804,0.0
QN0805,0.0
QN0871,0.008507191902366344
QN0891,0.0
QN0901,0.0
QN0902,0.0
QN0903,0.0
QN0904,0.0
QN0905,0.0
QN1001,0.0
QN1002,0.0
QN1003,0.13574345996175607
QN1091,0.2484045339871987
QN1101,0.0
QN1102,0.030298390267699295
QN1103,0.06644538238076536
QN1104,0.0
QN1191,0.20093270364866422
QN1201,0.0
QN1202,0.0
QN1203,0.028631188222952724
QN1204,0.010945640888748028
QN1205,0.0
QN1206,0.0
QN1301,0.0
QN1302,0.0
QN1303,0.0
QN1304,0.0
QN1305,0.0
QN1306,0.13776821502934058
QN1307,0.2021311727425097
QN1371,0.0
QN1401,0.4104864120451847
QN1402,0.5235347905867358
QN1403,0.5704637680161789
QN1491,0.32880255947066717
QN8081,0.8700049932060999
QN8191,0.670637202410459
QN8291,0.0
QN8381,0.053313934075328154
QN8491,0.5107543972136568
QN8492,0.4995171793979824
SI0101,0.053491379066001536
SI0102,0.08529845793550947
SI0103,0.06527965722764931
SI0104,0.005917643406798686
SI0105,0.017616543192296392
SI0106,0.06205904822335323
SI0107,0.12339518947534107
SI0191,0.1578205961078619
SI0201,0.11949612672548648
SI0202,0.3908146951891896
SI0203,0.05841711633672727
SI0204,0.2845575329558098
SI0291,0.5062000155716597
SI0301,0.2588478220612884
SI0302,0.000512969634671837
SI0303,8.109407607700808e-05
SI0304,0.0
SI0305,0.045671694294803
SI0391,0.23260736095578732
SI9561,0.10675146201135137
SI9591,1.0
SI9592,0.33252197186934407
